date,DSE,Bank,Cement,Ceramics,Engineering,NBFI,Food,Fuel,Insurance,IT,Jute,Miscellaneous,Mutual_Fund,Paper,Pharmaceuticals,Service_Real_Estate,Tannery,Textile,Travel_Leisure,Telecommunication,Total Volume,DSEX
12/15/2024,3577.89,3218.55,2431.33,653.316,1753.26,1359.18,18787,2048.15,3316.76,1538.63,6810.76,3842.2,522.936,138.891,4485.82,2405.87,2427.33,1705.16,1338.58,4088.49,102846963,5178.86692
12/12/2024,3528.95,3190.02,2436.65,649.669,1740.17,1342.47,18527.8,2010.48,3273.07,1518.26,6717.62,3839.53,516.059,137.794,4345.58,2380.24,2405.91,1701.66,1329.42,4075.2,113490059,5105.4316
12/11/2024,3540.47,3195.21,2451.39,653.501,1743.41,1350.47,18576.5,2012.88,3294.66,1518.18,6783.74,3835.62,519.902,139.229,4376.28,2393.15,2415.63,1701.45,1350.34,4069.07,124547332,5124.49968
12/10/2024,3573.09,3225.18,2464.36,659.33,1756.18,1376.24,18867.3,2031.97,3341.86,1553.99,6943.65,3869.45,529.717,142.184,4396.82,2434.8,2434.14,1711.06,1365.66,4105.94,163293171,5166.83237
12/9/2024,3571.87,3226.58,2461.38,661.466,1749.02,1377.73,18931.4,2030.82,3303.23,1566.82,6777.92,3883.55,525.148,142.676,4394.46,2452.91,2426.68,1703.05,1371.49,4123.9,127225555,5166.98069
12/8/2024,3580.8,3241.06,2470.09,662.737,1754.41,1388.1,19011.2,2031.1,3307.36,1577.71,6734.3,3887.97,527.958,144.102,4403.37,2422.14,2429.66,1699.73,1373.96,4117.84,117632521,5181.83165
12/5/2024,3596.37,3269.35,2491.77,672.078,1767.1,1401.74,19132.1,2034.91,3351.22,1586.42,6933.49,3892.38,539.208,145.242,4388.93,2421.53,2447.84,1695.98,1388.08,4119.67,141104439,5196.82337
12/4/2024,3629.33,3292.15,2505.98,676.598,1784.55,1431.32,19331.7,2063.03,3400.22,1622.87,6852.29,3899.12,558.653,145.758,4416.56,2480.01,2449.24,1715.49,1413.33,4163.85,218343541,5238.3706
12/3/2024,3621.7,3278.99,2507.56,679.826,1810.3,1431.51,19167.3,2083.25,3397.34,1642.68,7022.67,3904.79,529.426,146.277,4372.13,2527.54,2460.97,1729.68,1425.92,4192.15,220714640,5226.04873
12/2/2024,3605.25,3280.44,2494.13,674.057,1796.66,1417.43,19094.6,2050,3397.9,1642.68,7130.33,3906.26,529.547,141.888,4349.09,2404.38,2474.13,1713.59,1438.98,4122.12,212428391,5201.93919
12/1/2024,3587.48,3267.84,2491.29,677.499,1788.59,1399.46,19049.1,2048.47,3361.57,1630.15,7033.8,3887.68,522.63,139.919,4338.66,2402.5,2465.23,1687.88,1392.28,4107.74,167066300,5185.04803
11/28/2024,3590.72,3277.73,2488.3,648.585,1755.26,1407.73,19047.4,2045.45,3411.95,1603.06,7119.62,3902.9,524.27,139.556,4353.37,2345.16,2431.2,1673.87,1385.85,4138.47,176429601,5192.59474
11/27/2024,3594.18,3287.55,2504.4,643.052,1756.26,1419.99,19082.8,2042.19,3438.16,1611.5,7258.01,3908.06,526.71,139.871,4332.62,2376.62,2434.73,1675.35,1374.64,4147.72,166030885,5197.93651
11/26/2024,3549,3248.11,2486.27,625.63,1719.28,1382.03,18830.9,2013.3,3366.31,1567.34,7498.02,4032.73,515.181,137.534,4260.15,2260.27,2401.77,1641.8,1345.75,4082.54,123628198,5143.12922
11/25/2024,3547.28,3249.59,2494.54,624.353,1715.35,1391.76,19040,2022.59,3409.48,1553.57,7316.61,3881.81,514.302,135.415,4280.69,2261.38,2396.59,1636.67,1337.65,4057.91,111908036,5136.12511
11/24/2024,3548.78,3258.1,2478.34,613.211,1707.25,1386.2,18954.5,2003.76,3435.38,1551.3,7050.85,3893.6,515.019,135.279,4284.93,2254.13,2395.06,1638.26,1345.1,4086.85,112071237,5146.4995
11/21/2024,3579.34,3277.61,2487.14,627.339,1714.2,1405.46,19111.1,2011.19,3443.37,1534.63,7146.43,3896.57,515.365,137.304,4375.16,2258.14,2414.2,1654.73,1350.33,4097.53,130139080,5197.58015
11/20/2024,3594.67,3295.68,2523.63,638.303,1733.49,1451.4,19355,2027.86,3527.74,1558.02,6991.17,3885.5,521.352,138.518,4317.37,2323.61,2431.51,1662.96,1373.34,4141.61,126651671,5245.26354
11/19/2024,3594.67,3278.12,2527.28,644.017,1733.2,1409.58,19714.2,2032.8,3596.93,1564.18,7143.76,3892.34,519.057,138.329,4312.02,2354.87,2442.18,1658.48,1372.09,4124.59,168031213,5242.66142
11/18/2024,3625.55,3314.28,2563.83,643.448,1759.54,1401.13,19155.7,2063.78,3630.91,1601.83,7904.11,3901.71,527.15,141.308,4373.89,2377.61,2424.73,1692.99,1395.01,4121.19,175127514,5300.06655
11/17/2024,3647.4,3352.76,2546.56,656.281,1756.85,1422.13,19245.7,2081.88,3494.52,1604.42,7712.88,3923.43,534.233,144.607,4417.46,2395.18,2427.92,1708.88,1408.3,4150.24,177282531,5328.32847
11/14/2024,3654.55,3386.2,2527.75,655.351,1777.52,1439.07,19137.4,2050.12,3495.17,1592.2,7184.59,3928.02,533.903,146.352,4410.52,2288.54,2403.79,1695.02,1467.02,4209.02,194862187,5355.32694
11/13/2024,3616.16,3333.49,2495.87,647.39,1744.05,1426.34,19044.2,2020.11,3455.6,1564.67,7044.74,3930.51,525.631,141.289,4391,2250.35,2376.38,1661.54,1463.56,4189.67,139718948,5316.01752
11/12/2024,3609.53,3327.33,2477.45,661.512,1721.68,1433.55,19005.9,2022.17,3338,1574.88,7366.13,3910.89,530.088,144.617,4388.9,2268.73,2395.66,1669.06,1505.55,4232.2,171982883,5298.36505
11/11/2024,3626.9,3383.52,2535.53,666.611,1727.29,1440.23,18896.6,2017.66,3253.92,1587.07,7721.18,3935.34,532.308,146.501,4385.69,2298.83,2404.5,1679.82,1539.79,4212.95,181324028,5333.42404
11/10/2024,3590.8,3342.1,2494.03,672.237,1726.03,1410.51,18765.6,2029.49,3170.97,1587.24,7836.03,3905.05,531.685,147.524,4336.18,2256.26,2392.34,1675.15,1528.79,4124.8,217728985,5265.8462
11/7/2024,3626.5,3377.72,2518.88,685.708,1760.67,1433.93,18755.2,2044.81,3225.89,1630.96,8502.02,3867.96,544.51,147.798,4392.88,2277.94,2403.61,1677.57,1562.35,4175.85,187217645,5316.33395
11/6/2024,3645.33,3423.17,2517.83,677.05,1769.25,1463.07,18851.4,2040.21,3261.91,1625.07,9027.75,3894.89,552.894,149.803,4384.81,2276.3,2409.84,1680.41,1575.71,4128.59,242768692,5347.08388
11/5/2024,3662.11,3441.71,2536.78,682.259,1781.95,1476.51,19010,2026.98,3353.21,1655.27,8597.45,3917.88,551.143,154.759,4361.16,2336.77,2441.06,1709.64,1562.76,4161.76,306902427,5365.0175
